example_id,tweet_id,customer_message,historical_brand_reply,gold_intent,gold_intent_verified,should_escalate,escalation_reason,expected_action_or_facts,difficulty,annotator_notes,sampling_stratum,resolution_type
ex_0014,2632601,<USER> I'd suggest instead of automatically adding those 'liked' to my library (or trying to) give me an option (like with the 'dislike') to add it to my library or just make note that I like the song.,<USER> Hi Kathleen! Thanks for sharing your thoughts. It's definitely something for the team to consider and we'll make sure it reaches them. Give us a shout if there's anything else 🙂 /NJ,Playlist / Library,False,,,,,,Playlist / Library,other
ex_0015,1933258,<USER> I can't login to my account &amp; I can't find a customer service. Please help. NEED MUSIC,"<USER> Hi Kelly, help's here! Can you DM us your account's username or email address? We'll take a look and see what we can suggest /MC <URL>",Account / Login / Security,False,,,,,,Account / Login / Security,private_escalation
ex_0016,832765,<USER> Your track record does not lead me to believe you but ok sure,<USER> Thanks. Let us know if you ever need us again. We'd be... <URL> 😁 /JM,Ads,False,,,,,,Ads,other
ex_0017,1933841,<USER> you’re welcome! Thanks,<USER> No worries. Just let us know if we can help with anything else. <URL> /NQ,Other / Ambiguous,False,,,,,,Other / Ambiguous,other
ex_0018,452092,<USER> I would love for my discover weekly album cover not to be me and my ex anymore and yet here we are.... can someone PLEASE fix that for me?,"<USER> Hey, help's here! Can you send us a DM with your account's email address or username? We'll take a look backstage /AR <URL>",Content Availability,False,,,,,,Content Availability,private_escalation
ex_0019,2432983,<USER> YOURE THE BEST I️ LOVE YOU,<USER> You're welcome! Let us know if you ever need us again. We'd be... <URL> 🎶 /AU,Other / Ambiguous,False,,,,,,Other / Ambiguous,other
ex_0020,1154164,Dear <USER> there should be an option to block certain artists. Like why do I gotta listen to lil peep and lil pump... :/,"<USER> Hey there! Show your support at <URL> to help make it happen. For anything else, let us know /GU",Content Availability,False,,,,,,Content Availability,other
ex_0021,831876,<USER> We are missing to listen Artist's Playlists 😞😞,<USER> Thanks for the feedback – we appreciate it! We’ll get this passed onto the right team /RB,Playlist / Library,False,,,,,,Playlist / Library,other
ex_0022,885137,<USER> plz bring back full dates on when albums where released instead of just the year... I love knowing exactly something is out! 🙏,"<USER> We hear you, Nancy! Your feedback has been noted and passed onto the team 👊🏼 /CG",Content Availability,False,,,,,,Content Availability,other
ex_0023,1888572,<USER> As fun as it would be to do the digital equivelant of shelf stacking I have hundreds of songs can I put in a feature request for a bulk add?,<USER> We hear you! This sounds like a great idea. Suggest it in our Community at <URL> and get support from other users /GT,Feature / Product Question,False,,,,,,Feature / Product Question,other
ex_0024,803193,<USER> yo cunts i cant login my acc. fix this shit now before i disable my free acc. user: 423million,"<USER> Hey! Sorry to hear that. Can you try restarting your device, then log back in? Let us know how it goes /AU",Account / Login / Security,False,,,,,,Account / Login / Security,troubleshooting
ex_0025,1715012,<USER> That worked. Thank you! 🙌🏾,<USER> Awesome! Let us know if you ever need us again. We'd be... <URL> /RH,Other / Ambiguous,False,,,,,,Other / Ambiguous,other
ex_0026,2756265,"<USER> Any news of when.. Really want to listen to #Endgame of #reputation given that me and many millions of people pay for ""Spotify premium"" 🤔🤔🤔",<USER> We’ll have it available to you as soon as it’s available to us! Hang in there /RB,Premium / Subscription,False,,,,,,Premium / Subscription,other
ex_0027,423602,"<USER>’ Hi, I can't seem to log into my premium account anymore. My ""subscription with one of our partners has just end""","<USER> Hey Ian, help's here! Can you DM us your account's email address? We'll take a look backstage /JN <URL>",Account / Login / Security,False,,,,,,Account / Login / Security,private_escalation
ex_0028,2509500,"<USER> yea, usually it’s ok, and I love a lot of old white guys, but man, what I wouldn’t give for a “ban alll Grateful Dead and Eagles associated artists to hell” button CC <USER>","<USER> We can see how that’d be handy. Thanks for taking the time to reach out – and don't worry, your Discover Weekly should improve as it gets to know you. Keep adding your fav tracks to Your Library/playlists 🙂 /DN",Content Availability,False,,,,,,Content Availability,other
ex_0029,2038723,So how do I upgrade my <USER> account to premium when it gives me no option to do so anywhere on the app 🤔 #confused,"<USER> Hi! At this time, you can upgrade to Premium through the site: <URL> but we'll pass your feedback to the right team /RE",Premium / Subscription,False,,,,,,Premium / Subscription,informational
ex_0030,1452518,<USER> Hey! How do I get my podcast #RandomPodcastGenerator onto Spotify itself? Is there any quick submit form or a way to request?,"<USER> Hey there, thanks for your interest! For more info on getting your podcast on Spotify, check out: <URL> /JX",Feature / Product Question,False,,,,,,Feature / Product Question,clarification_request
ex_0031,1800061,"hey <USER>, it's rude to opt me into a bunch of new notifications when i had previously turned off all your notifications.","<USER> Hey Philip! Don't worry, you can manage your notifications by following the steps here: <URL> Hope it helps /MO",Ads,False,,,,,,Ads,informational
ex_0032,193223,"<USER> I cannot accept invitation to a Family Premium subscription, (was revoked due to incosistent Postal No. (i made those numb))",<USER> Hey James! Can you DM us your account's email address? We'll take a look backstage /SJ <URL>,Premium / Subscription,False,,,,,,Premium / Subscription,private_escalation
ex_0033,2493998,".<USER> has released their third or fourth update in the past two weeks, but still hasn't fixed the #iPhoneX screen size issues.","<USER> Hey there. Don't worry, we’re working on it as we speak. Stay tuned! /PB",App / Device / Technical,False,,,,,,App / Device / Technical,other
ex_0034,1020114,<USER> my release radar sucks get it together,"<USER> Hey! The more you use Spotify, the more personalized Release Radar becomes. Just carry on listening to the songs you love /SJ",Ads,False,,,,,,Ads,other
ex_0035,2491621,<USER> hey guys i applied for student discount and got accepted but still being billed at premium rate. please help me,<USER> Hey Alex! Could you send us a DM with your account's email address or username? We'll take a look backstage /AY <URL>,Premium / Subscription,False,,,,,,Premium / Subscription,private_escalation
ex_0036,611411,<USER> Awesome! Ive been trying to figure out how to do that for years. Thanks!,<USER> You're welcome! Let us know if you ever need us again. We'd be... <URL> /RB,Feature / Product Question,False,,,,,,Feature / Product Question,other
ex_0037,645117,"<USER> Hey can you get David Cassidy's eponymous 1990 album on Spotify? It's the only one that isn't there, I think.","<USER> Hey! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: <URL> /TR",Content Availability,False,,,,,,Content Availability,other
ex_0038,347022,<USER> who's Herny? <URL>,<USER> Hey there! Can you send us the Song Link? Just tap the three dots &gt; Share &gt; Copy Link. We'll take a look /NQ,Other / Ambiguous,False,,,,,,Other / Ambiguous,clarification_request
ex_0039,1334561,<USER> is it just me or is my phone getting really hot and losing all its battery life while listening to Spotify could you fix this.,"<USER> Hi Adnan, help's here! Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /TY",Other / Ambiguous,False,,,,,,Other / Ambiguous,other
ex_0040,516747,<USER> So I’m looking at my Spotify account and I’ve noticed I’ve been charged multiple times but I only use Spotify on my desktop and that’s the free version? Can you help me out?,<USER> Hey Marc! We'll help out. Can you DM us your account's email address? We'll take a look under the hood /AN <URL>,Billing / Payment,False,,,,,,Billing / Payment,private_escalation
ex_0041,2297987,How do I open my Spotify if I deactivate my Facebook? <USER>,<USER> Hey there! Can you send over your account's email address? We'll see what we can suggest /QI,Feature / Product Question,False,,,,,,Feature / Product Question,clarification_request
ex_0042,1791316,Why is X’s music getting removed from <USER>??,<USER> Hey! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon! /TR,Playback / Audio,False,,,,,,Playback / Audio,other
ex_0043,39758,"Several updates later, and I still want the lyrics feature back <USER> :(",<USER> 1: Hi there. We're sorry you feel that way. Lyrics is currently unavailable as we're making some big improvements to the feature. We...,Feature / Product Question,False,,,,,,Feature / Product Question,other
ex_0044,16205,<USER> Thank you. Will keep an eye on that.,<USER> You're welcome. Let us know if you ever need us again. We'd be... <URL> /NQ,Other / Ambiguous,False,,,,,,Other / Ambiguous,other
ex_0045,2353934,<USER> CAN YOU PLEASE MAKE NOTHING WITHOUT YOU AVAILABLE ALREADY I HAVE TO LISTEN TO THIS SHIT ON Y O U T U B E,"<USER> Hey! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: <URL> /DF",Ads,False,,,,,,Ads,other
ex_0046,1417612,"<USER> No need, when I search for it now it shows 14 tracks instead of the 12 shown before 😀. Thank you!",<USER> No worries! Glad to hear everything's sorted now. Just let us know if we can help with anything else. <URL> /PL,Content Availability,False,,,,,,Content Availability,other
ex_0047,1101960,<USER> why is mac demarco not in my daily mix?,"<USER> Hey there! Daily Mix refreshes regularly, so you’ll need to save your favorite tunes. To do so, tap ❤️ while it’s playing /KL",App / Device / Technical,False,,,,,,App / Device / Technical,informational
ex_0048,1811076,<USER> I have a new premium family account. How do my family set up on their devices if they have lost the email with the set up?,<USER> Hi there! Can you DM us your account's username or email address? We'll take a look under the hood /JM <URL>,Account / Login / Security,False,,,,,,Account / Login / Security,private_escalation
ex_0049,998907,"<USER> hey,i filled out the information for the student discount and they said the file did not work multiple times,and charged me?",<USER> Hey! Can you DM us your account's username and email address? We'll take a look backstage /JL <URL>,Billing / Payment,False,,,,,,Billing / Payment,private_escalation
ex_0050,2045284,I wonder if I buy <USER> premium if it will skip as much as the free version does.,<USER> Hey Brittany! You'll have unlimited skips with Spotify Premium. More info at <URL> Let us know if that helps /GU,Premium / Subscription,False,,,,,,Premium / Subscription,clarification_request
ex_0051,2689671,<USER> iPhone iOS 11.1.2. After it closed so many times it finally opened up.,"<USER> Thanks for the info. Just to check, are you still having any issues with the app? Keep us posted /PB",App / Device / Technical,False,,,,,,App / Device / Technical,other
ex_0052,1249133,<USER> Album was in my groove library move over to Spotify,<USER> We’d love to have all of the tracks in the album available. We have some more information on this here: <URL> /JU,Playlist / Library,False,,,,,,Playlist / Library,clarification_request
ex_0053,1882667,"<USER> Hi, I have gone on my app as usual &amp; this morning all my saved songs and albums are missing but yet my playlists are fine? - C","<USER> Hey Carolyn, sorry for the delay! Can you DM us your account's email address? We'll figure out what's going on /RR <URL>",Playlist / Library,False,,,,,,Playlist / Library,private_escalation
ex_0054,761993,"Who?! Sorry <USER> but if I'm typing ""Tom Jo"" you know there's only one guy Im looking for. Its a strange request, but it's not unusual. <URL>","<USER> Hey Shaun, we hear you! Don't worry, we'll let the right folks know about this. Thanks for the feedback /JP",Feature / Product Question,False,,,,,,Feature / Product Question,other
ex_0055,563508,<USER> I have a problem with your app on Android. DM?,<USER> Hi there! Help's here. What's happening exactly? Can you DM us your account's email address or username? We'll take a look backstage /NQ <URL>,App / Device / Technical,False,,,,,,App / Device / Technical,private_escalation
ex_0056,1870994,"<USER> Hi, My family account got kicked an account kicked off but that is at the same address. Your website won't allow me to re-add",<USER> Hey Cooper! Help's here. Can you DM us the email address of your family member's account? We'll have a look under the hood /DD <URL>,Account / Login / Security,False,,,,,,Account / Login / Security,private_escalation
ex_0057,2622893,Really sad that <USER> doesn’t recognize my school as a school for the student discount. #notchill,<USER> Hey Jordyn! You can try manual verification a <URL> Keep us in the loop /JX,Ads,False,,,,,,Ads,informational
ex_0058,2702289,"<USER> <USER> please help, no point paying the extra money if I can't invite my family to join","<USER> Hey Fran, help's here! Does clearing your browser's cache and cookies make a difference? We'd also recommend using an incognito/private browsing window. Any difference? /DB",Billing / Payment,False,,,,,,Billing / Payment,other
ex_0059,1554479,"<USER> I paid $6 and i can't verify my student ID, do i get my money back? Because it says the transaction is pending","<USER> Hi Adam, help's here. Can you DM us your account's email address? We'll check under the hood /NY <URL>",Billing / Payment,False,,,,,,Billing / Payment,private_escalation
ex_0060,497744,<USER> Great to hear. You surely ended up not caring about the 800000 of us who have exceeded the #10kSpotifyEpicCollectionLimit though. <URL>,<USER> Thanks for sharing your thoughts about the 10k limit. We’d also love to hear your feedback on this idea: <URL> Our tech folks keep a close eye on all submissions posted on our Community page about this /KB,Playlist / Library,False,,,,,,Playlist / Library,other
ex_0061,1878,"<USER> why are Nena's releases between 2002 and 2012 all missing, yet everything else from 1982 - 2017 is there? #sadness #emptyplaylist",<USER> Hi Liam! Could you let us know the tracks/albums you're looking for? We'll take a look /RH,Playlist / Library,False,,,,,,Playlist / Library,other
ex_0062,2848313,"<USER> Ah. False alarm. Boo. It's in the radio though... doesn't feel like the far stretch to implement into DW, but I can barely spell 'code'.",<USER> Thanks for the feedback. We’re always testing things in order to improve &amp; we'll pass on your thoughts to our devs /JU,Billing / Payment,False,,,,,,Billing / Payment,other
ex_0063,2366366,hey <USER> why didn't i get one of the emails with a presale link to see <USER> live? i've been listening to their stuff for over a year extremely frequently.,<USER> Hey Eli! We've just sent you a DM 🙂 /VK,Feature / Product Question,False,,,,,,Feature / Product Question,other
ex_0064,407154,"<USER>, I've tweeted about this before, but the artist for this song shouldn't be Prince: <URL>",<USER> Hi! Thanks for reporting. Can you send over the links of the artist page that should be on a separate page? /DV,Playback / Audio,False,,,,,,Playback / Audio,clarification_request
ex_0065,2397310,<USER> It's a shame that an app like yours is still not adapted for the iPhone X <URL>,"<USER> Hey, we appreciate your feedback. We’re working on it as we speak. Stay tuned! /PL",App / Device / Technical,False,,,,,,App / Device / Technical,other
ex_0066,1771341,<USER> um I am being charged for a service I do not have. I am very frustrated and want to talk to someone if possible,<USER> Hey there! We've just sent you a bit more info over DM. We'll carry on helping out there /JQ,Billing / Payment,False,,,,,,Billing / Payment,clarification_request
ex_0067,1098218,"<USER> I have exactly 3,639 tracks saved :)",<USER> Thanks! There's currently a 10k limit in Your Music (Songs + Albums + Artists). More info here: <URL> /PL,Playlist / Library,False,,,,,,Playlist / Library,clarification_request
ex_0068,289998,<USER> I don't even know how to do that in mobile,"<USER> Thanks. Can you let us know your device, operating system, and Spotify version? We'll see what we can suggest /JP",Feature / Product Question,False,,,,,,Feature / Product Question,clarification_request
ex_0069,2225694,"Why is #Reputation NOT on <USER> giiirl pls you don’t need my money, you’ll be #1!!!!! Let me listen on my streaming service ugh","<USER> Hi there! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: <URL> /DR",Billing / Payment,False,,,,,,Billing / Payment,other
ex_0070,326803,<USER> add Tool please. What are you doing???,"<USER> Hey Craig, we'd love to have Tool on Spotify! Hopefully we will in the future. Check this out: <URL> /SU",Playlist / Library,False,,,,,,Playlist / Library,other
ex_0071,2657379,<USER> stupid app won’t work! iOS 11.2 I click login and is unresponsive 😡,"<USER> Hey, that doesn't sound good! Try restarting your device by holding Home + Lock for 10 seconds. Does that help? /YM",Account / Login / Security,False,,,,,,Account / Login / Security,troubleshooting
ex_0072,286441,"<USER> Yo guys, you should work on a personalized feed. I'm not interested in Pitbull for example, will never be.","<USER> Hi! We appreciate your feedback, and we'll be sure to pass this on to the right folks. Let us know if we can help with anything else /LM",Billing / Payment,False,,,,,,Billing / Payment,other
ex_0073,1824880,So how do I get the Majid Jordan <USER> presale code 🙃,<USER> Hey there! Pre-sale codes are being sent out by email to some of Majid Jordan's biggest fans on Spotify. Hopefully you're one of them 🙂 /CH,Feature / Product Question,False,,,,,,Feature / Product Question,other
ex_0074,2666951,"<USER> after i've undownloded all songs (took all playlists and albums off of offline mode), spotify still takes up a whopping 8GB on my phone? it hasn't changed, even after i deleted over 200 songs worth of data!!! [im using an iPhone 7 running iOS 10.3.2]","<USER> Hi Erin, help's here. Can you let us know the Spotify version you're running? We'll see what we can suggest /NY",Playback / Audio,False,,,,,,Playback / Audio,clarification_request
ex_0075,2497515,Hey <USER> what's a guy gotta do to get Acid Rap added to the library? 😟,<USER> Hey! Sometimes content is unavailable due to licensing matters. More info about this here: <URL> /JS,Playlist / Library,False,,,,,,Playlist / Library,clarification_request
ex_0076,1299697,"<USER> love this week's recommended music playlist, any buttons I can press on the app to ensure more of the same style next week?","<USER> 1: Hi! We don't have that feature right now, but we'll let the right team know it's something you'd like to see...",Playback / Audio,False,,,,,,Playback / Audio,other
ex_0077,2756246,<USER> I am supposed to have a premium subscription for two users through our cell phone provider and it says we don't have premium? help pls,<USER> Hey! Can you DM us your account's username and email address? We'll take a look backstage /JL <URL>,Premium / Subscription,False,,,,,,Premium / Subscription,private_escalation
ex_0078,1941372,"Astounded to discover just how long <USER> has been installing itself in the profile folder on Windows, with no option of changing.","<USER> Hi Jonathan. Don't worry, we'll look into this. Can you tell us exactly what's going on and what needs to be changed? /JU",App / Device / Technical,False,,,,,,App / Device / Technical,clarification_request
ex_0079,1569800,"<USER> Can't get Sp. on Sonos. ""Unable to browse music"". Sonos updates done. Can get Sp. elsewhere. What to do?",<USER> Hey there! Could you try resetting your device? Let us know how it goes /DF,Playback / Audio,False,,,,,,Playback / Audio,troubleshooting
ex_0080,2560532,"<USER> I'm not sure when it happened but OSX 10.13.1 and Spotify Version 1.0.67.582.g19436fa3 when I hit the play button on my Macbook Pro's Keyboard, it doesn't play the music from spotify anymore.","<USER> Hi Aaron! Can you try to log out of your account, restart your device, and log back in? Let us know how it plays out /HR",Playback / Audio,False,,,,,,Playback / Audio,other
ex_0081,2614470,<USER> Awww I know that but I mean the newest album twicetagram isn’t on it😢,"<USER> We’d love to have all of their stuff available, but we have some info about content here: <URL> /MU",Content Availability,False,,,,,,Content Availability,other
ex_0082,1374800,"Yo <USER> why does clicking ""Log In With Facebook"" keep redirecting me back to the main login page?","<USER> Hey there, that doesn't sound right! Can you let us know your device, operating system, and Spotify version? We'll see what we can suggest /JP",Account / Login / Security,False,,,,,,Account / Login / Security,clarification_request
ex_0083,1965437,my discover weekly has been trash lately. <USER> what’s good?,<USER> Hi Christopher! Your Discover Weekly should improve as it gets to know you. Keep adding your favorite songs to Your Library/playlists 🙂 /MA,Other / Ambiguous,False,,,,,,Other / Ambiguous,other
ex_0084,65543,<USER> Saved playlists,<USER> Hmm. Can you tell us when this started happening? Was it after an app update? /CH,Playlist / Library,False,,,,,,Playlist / Library,clarification_request
ex_0085,113846,<USER> <USER> <USER> my mom is being charged every month for premium service but her account doesn't have premium features. She doesn't want spotify at all and she can't figure out how to quit being charged. Any help?,<USER> Hey Briar! Can you DM us your mom's username or email address? We'll check on this for you /NH <URL>,Billing / Payment,False,,,,,,Billing / Payment,private_escalation
ex_0086,870471,<USER> hey guys i am having some trouble canceling an account is there any way i could call or email you for help?,"<USER> Hey Frank, help's here! Can you DM us your account's email address and username? We'll take a look /DH",Account / Login / Security,False,,,,,,Account / Login / Security,private_escalation
ex_0087,1639764,<USER> Huawei p9 lite/android,"<USER> Thanks. Just to check, which Spotify version are you currently using? Are you able to see the feature on another device? /NQ",App / Device / Technical,False,,,,,,App / Device / Technical,other
ex_0088,440873,<USER> Ok but before I do is all caps a requirement or just a suggestion I want to maximize my chances,"<USER> By posting your idea, you'll get votes from other users. Once you have enough support, it'll then be implemented in the app /AU",Feature / Product Question,False,,,,,,Feature / Product Question,other
ex_0089,2610045,<USER> put perfect velvet on spotify already I'm tired,"<USER> Hi there! We’d love to have all of Red Velvet's stuff available, but we have some info about content here: <URL> Let us know if you have any other questions /NY",Ads,False,,,,,,Ads,other
ex_0090,475199,<USER> <USER> Android version on Pixel 2 XL. Update cuts off bottom bar titles. <URL>,<USER> Hi Richard! That's odd. Can you try logging out &gt; restarting your phone &gt; logging back in to see if it helps? Keep us posted /MU,App / Device / Technical,False,,,,,,App / Device / Technical,other
ex_0091,1080963,"<USER> can you guys develop a feature for more storage, maybe another type of premium feature or add on",<USER> We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /YM,Premium / Subscription,False,,,,,,Premium / Subscription,other
ex_0092,2917898,<USER> is your search engine down in the uk?,<USER> Hey there! Everything should be running smoothly now. Let us know if you're still getting issues /GS,Content Availability,False,,,,,,Content Availability,other
ex_0093,1169153,<USER> I have a premium subscription but Spotify account has changed to free account.Subscription on iPhone states it renews on 11/19,"<USER> Hey, help's here! Can you DM us your account's email address? We'll take a look backstage /SJ <URL>",Premium / Subscription,False,,,,,,Premium / Subscription,private_escalation
ex_0094,1295924,Alllll day long u interrupt my songs asking me to upgrade then when I finally want to upgrade it's nowhere to be found. HELP😠 <USER>,"<USER> Hey, sorry to hear that. You can sign up for our regular Premium subscription at <URL> Hope that helps! /JE",Premium / Subscription,False,,,,,,Premium / Subscription,informational
ex_0095,2043858,"<USER> I got an invite to join a Premium Family plan. When I click on Accept Invitation, it simply takes me to a sign in page?","<USER> Hey Lianne, help's here! Could you DM us your account's username/email address? We'll check behind the scenes /RE <URL>",Premium / Subscription,False,,,,,,Premium / Subscription,private_escalation
ex_0096,2337273,you guys better have super slimey uploaded by 12 am eastern time <USER>,"<USER> Hey Jay! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: <URL> /MT",Ads,False,,,,,,Ads,other
ex_0097,335348,Why can't I pre-save it?? I can't even find it!! Someone help my tech impaired ass!! 😂😂😂 <URL>,"<USER> Hey, sorry for the delay! You can pre-save Niall Norhan's album at <URL> 💚 /RR",Content Availability,False,,,,,,Content Availability,informational
ex_0098,830999,<USER> your Ariana Grande song ‘behind the lyrics’ of One Last time is completely wrong! It took the life’s of 22 people not 23! <URL>,"<USER> 2: ever need anything else, just give us a shout and we'll come running 🏃 /MT",Playback / Audio,False,,,,,,Playback / Audio,other
ex_0099,2198087,<USER> why can't you have a phone line? It takes hours to exchange a few simple messages on Twitter #madness,"<USER> We're afraid we don't have telephone support right now, but we're happy to continue helping you via DM /GS",Ads,False,,,,,,Ads,other
ex_0100,2131430,Does anybody know how to change user name on <USER> ?,"<USER> 2: thoughts here: <URL> Any other questions, give us a shout 🙂 /NG",Feature / Product Question,False,,,,,,Feature / Product Question,other
ex_0101,1824580,<USER> hey I need help. I forgot the email I used to sign in I know the password is there anything you could do,<USER> Hey Jerome! Can you send us every possible username or email address you might've used for Spotify via DM? We'll take a look backstage /FR <URL>,Account / Login / Security,False,,,,,,Account / Login / Security,clarification_request
ex_0102,2883054,"<USER> I see that in Android mobile and Windows PC. When see Strauss autor can see Tchaikovsky song as most played, and song of a band named Strauss.",<USER> Hmm. Do you mean tracks from different artists play whenever you try to listen to Strauss? Can you send us the Album/Playlist/Artist Link? Just tap the three dots &gt; Share &gt; Copy Link /AY,Playback / Audio,False,,,,,,Playback / Audio,clarification_request
ex_0103,1158254,<USER> Thanks. iPhone 8 - iOS 11.0.3 - not sure what app version,<USER> You can find the app version by going to Settings &gt; About. Can you give us more info on what happened to Your Daily Mix? /PB,App / Device / Technical,False,,,,,,App / Device / Technical,clarification_request
ex_0104,193294,<USER> hey guys can you check my dm?thanks,<USER> Hi! We've just sent a DM your way. Let's carry on chatting there /CO,Other / Ambiguous,False,,,,,,Other / Ambiguous,other
ex_0105,1950473,<USER> Is it possible to play music ONLY from my library of local file songs I brought on the Google Home? I really want to know this before I sign up for a Spotify account,"<USER> Hi Nova! Can you let us know the device you're using, its operating system, and Spotify version? We'll see what we can suggest /NY",Playback / Audio,False,,,,,,Playback / Audio,clarification_request
ex_0106,2709276,"<USER> why is there an increasing number of songs that have label voiceover promoters talking about their club, track or show during the actual song?! Especially UK labal releases? So annoying. Is there a reporting system? Premium user.","<USER> Sorry to hear you feel that way, but thanks for the feedback. We'll make sure to pass it on to the right team /JS",Premium / Subscription,False,,,,,,Premium / Subscription,other
ex_0107,2790806,<USER> <USER> <USER> how many requests on your community forum does it take for you to give us an update on explictlyrics filter. Relying with no update available or it’s been passed to right team isn’t good enough. 1000s of people want this,"<USER> Hey Andy! We understand, but we don't have any info to share right now. Don't worry, the devs already know it's you'd like to see. Hopefully, we'll have an update soon. For anything else, let us know /GU",Feature / Product Question,False,,,,,,Feature / Product Question,other
ex_0108,2609420,"<USER> after your piss poor performance.. Its obvious you don't care, YOU HATE YOUR CUSTOMERS. AFTER 2 MONTHS I'M NOT TAKING MORE SCREEN SHOOTS. I'VE PAID 3 MONTHS WITH NO SERVICE. I HATE U AND WANT MY MONEY BACK NOW.",<USER> Hey Nathaniel! We can confirm we've added 2 months of Premium to your new account. We're not seeing any signs of a new charge but we'll take a look for you. Looks like you're running into some log in issues. We'll follow up via DM &amp; be sure to get this sorted /J,Billing / Payment,False,,,,,,Billing / Payment,other
ex_0109,1821532,"<USER> this is the second time Spotify deleted ALL my music, flicking all download switches to 'off'. I'm talking 30GB of music. Why?","<USER> Hey, sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at <URL> They should help out /PB",Playback / Audio,False,,,,,,Playback / Audio,informational
ex_0110,482480,<USER> my web player has been stuck and not playing for 2 days. Logged out off all devices and back in. Still not working 😕 #help,"<USER> Hi James, help's here. What operating system and browser are you on? Does restarting your device help at all? /AY",App / Device / Technical,False,,,,,,App / Device / Technical,other
ex_0111,2321768,"<USER> I have tried to get a refund, it didn't work out so I have have paid for premium that has been cancelled and I never used.",<USER> Hey! Can you DM us your account's email address? We'll look into this /SY <URL>,Premium / Subscription,False,,,,,,Premium / Subscription,private_escalation
