interaction_id,conversation_id,customer_context,customer_message,brand_response,brand_response_raw,resolution_type,retrieval_worthy,customer_tweet_id,brand_tweet_id,timestamp,weak_intent
int_000011,conv_2711978_2711976,"hey <USER> if i click to clear the search box i don't want to be taken to recent searches, I just want the text in the box to be gone","hey <USER> if i click to clear the search box i don't want to be taken to recent searches, I just want the text in the box to be gone","<USER> Hey there! Don't worry, we're here to help. Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /MT","@761411 Hey there! Don't worry, we're here to help. Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /MT",clarification_request,True,2711978,2711976,Mon Nov 20 01:43:57 +0000 2017,Content Availability
int_000012,conv_311705_311704,<USER> your share feature isn't working for me 😭,<USER> your share feature isn't working for me 😭,"<USER> Hey Tyler! Are you getting any error messages? If so, a screenshot of it will be helpful. Also, what device/OS are you using? /RK","@190436 Hey Tyler! Are you getting any error messages? If so, a screenshot of it will be helpful. Also, what device/OS are you using? /RK",clarification_request,True,311705,311704,Sat Oct 07 01:55:34 +0000 2017,Feature / Product Question
int_000013,conv_2615424_2615423,<USER> how can I get featured on a Spotify curated playlist 🙃😁,<USER> how can I get featured on a Spotify curated playlist 🙃😁,<USER> Hey Alex! Our Curation team are independent so there's no formal submission process. Check out <URL> to help you gain visibility 🙂 /C,@739298 Hey Alex! Our Curation team are independent so there's no formal submission process. Check out https://t.co/6BMOmfiZvQ to help you gain visibility 🙂 /C,informational,True,2615424,2615423,Fri Nov 17 13:57:14 +0000 2017,Playback / Audio
int_000014,conv_2279529_2279528,Where is the Taylor Swift's new album #reputation? 😕<USER>,Where is the Taylor Swift's new album #reputation? 😕<USER>,"<USER> Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: <URL> /DF","@662724 Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: https://t.co/3h0TnPWP0c /DF",informational,True,2279529,2279528,Sat Nov 11 19:21:28 +0000 2017,Content Availability
int_000015,conv_189865_412018,<USER> If I’m not enrolled this semester but still in uni why isn’t my student account working? :(,<USER> If I’m not enrolled this semester but still in uni why isn’t my student account working? :(,<USER> Hey there! You need to be currently enrolled in an accredited college or university so you can sign up for the student discount /MO,@213286 Hey there! You need to be currently enrolled in an accredited college or university so you can sign up for the student discount /MO,informational,True,189865,412018,Tue Oct 10 00:19:34 +0000 2017,Account / Login / Security
int_000016,conv_1126879_1126878,apparently i listened to lcd soundsystem too much because now <USER> refuses to play it anymore... <USER> what should i do? <URL>,apparently i listened to lcd soundsystem too much because now <USER> refuses to play it anymore... <USER> what should i do? <URL>,"<USER> Hey there, help's here! What device/OS are you using? Also, is it multiple tracks that aren't playing, or just one? Keep us posted /TB","@385698 Hey there, help's here! What device/OS are you using? Also, is it multiple tracks that aren't playing, or just one? Keep us posted /TB",clarification_request,True,1126879,1126878,Sat Oct 14 16:37:32 +0000 2017,Playback / Audio
int_000017,conv_2848345_2848343,Hey <USER> why won't Spotify import my iTunes/Apple Music playlists? It just creates an empty folder! (Using Mac and most recent versions for everything),Hey <USER> why won't Spotify import my iTunes/Apple Music playlists? It just creates an empty folder! (Using Mac and most recent versions for everything),"<USER> Hi Laura! Don't worry, we'll sort this out. Can you let us know the exact OS X and Spotify app version on your computer? We'll see what we can suggest /NJ","@792142 Hi Laura! Don't worry, we'll sort this out. Can you let us know the exact OS X and Spotify app version on your computer? We'll see what we can suggest /NJ",clarification_request,True,2848345,2848343,Mon Nov 27 11:44:17 +0000 2017,Playback / Audio
int_000018,conv_1148119_1148118,<USER> how do i follow my daughter on spotify who doesnt have a facebook account but has a a spotify account?,<USER> how do i follow my daughter on spotify who doesnt have a facebook account but has a a spotify account?,<USER> Hey there! We have more info about this here: <URL> Let us know if you have any questions /MC,@390201 Hey there! We have more info about this here: https://t.co/OTTdhlTtX7. Let us know if you have any questions /MC,clarification_request,True,1148119,1148118,Sat Oct 14 20:45:16 +0000 2017,Account / Login / Security
int_000019,conv_8673_8674,"<USER> Thanks 4 the speedy response but I think I discovered what’s going on, does the desktop app have a way to play music from personal folders?","<USER> Thanks 4 the speedy response but I think I discovered what’s going on, does the desktop app have a way to play music from personal folders?",<USER> 1: That may be it. You may have synced your local files into the Spotify app while logged in to your account. We have more info...,@117212 1: That may be it. You may have synced your local files into the Spotify app while logged in to your account. We have more info...,clarification_request,True,8673,8674,Tue Oct 31 23:47:25 +0000 2017,Playback / Audio
int_000020,conv_278132_278133,<USER> what does the Red Download sign mean,<USER> what does the Red Download sign mean,<USER> Hi! The red download symbol means that your download was unsuccessful. Can you let us know the device and operating system you're using? /PL,@182416 Hi! The red download symbol means that your download was unsuccessful. Can you let us know the device and operating system you're using? /PL,clarification_request,True,278132,278133,Sun Oct 29 12:23:18 +0000 2017,Playback / Audio
int_000021,conv_1053958_1053957,<USER> <USER> Why can I no longer play songs on the Google Chrome App? It won't play any songs. Please help. I am desperate.,<USER> <USER> Why can I no longer play songs on the Google Chrome App? It won't play any songs. Please help. I am desperate.,<USER> Hey there! What's happening exactly? Can you let us know the device and operating system you're using? We'll see what we can suggest /PB,@369023 Hey there! What's happening exactly? Can you let us know the device and operating system you're using? We'll see what we can suggest /PB,clarification_request,True,1053958,1053957,Mon Oct 23 12:08:48 +0000 2017,Playback / Audio
int_000022,conv_2483216_2483215,<USER> please cancel my subscription! I'm being charged for a service I don't have. UGGGH,<USER> please cancel my subscription! I'm being charged for a service I don't have. UGGGH,<USER> Hi! We've just sent you a bit more info over DM. We'll carry on helping out there /AR,@709452 Hi! We've just sent you a bit more info over DM. We'll carry on helping out there /AR,clarification_request,True,2483216,2483215,Sun Oct 29 21:58:30 +0000 2017,Premium / Subscription
int_000023,conv_1816106_1816108,"<USER> ""Playback Failed"" - Forces me to stop my work, go to iPad, reload Spotify, restart adverts, again. THAT is just BS. Feature, not a Bug? <URL>","<USER> ""Playback Failed"" - Forces me to stop my work, go to iPad, reload Spotify, restart adverts, again. THAT is just BS. Feature, not a Bug? <URL>",<USER> We've just sent you a bit more info over DM. We'll carry on helping out there /NG,@380593 We've just sent you a bit more info over DM. We'll carry on helping out there /NG,clarification_request,True,1816106,1816108,Thu Oct 19 16:13:23 +0000 2017,Playback / Audio
int_000024,conv_2458963_2458961,<USER> why you not yet here?,<USER> why you not yet here?,<USER> Hey there! We've just replied to your DM. Check out your messages 😉 /TM,@704225 Hey there! We've just replied to your DM. Check out your messages 😉 /TM,informational,True,2458963,2458961,Sun Nov 26 18:22:15 +0000 2017,Other / Ambiguous
int_000025,conv_168137_168135,<USER> why is there a limit to how many songs you can put in your library? I don't understand.,<USER> why is there a limit to how many songs you can put in your library? I don't understand.,<USER> Hi there! There's currently a 10k limit in Your Music (Songs + Albums + Artists). More info here: <URL> /AU,@155113 Hi there! There's currently a 10k limit in Your Music (Songs + Albums + Artists). More info here: https://t.co/59ABtm5Ftl /AU,clarification_request,True,168137,168135,Fri Nov 24 19:53:22 +0000 2017,Playback / Audio
int_000026,conv_2793335_2793333,"<USER> our podcast was recently added to Spotify. Do you have a ""Listen on Spotify"" logo that we can use on the website similar to the ""Listen on Apple Podcasts"" et al? Thanks","<USER> our podcast was recently added to Spotify. Do you have a ""Listen on Spotify"" logo that we can use on the website similar to the ""Listen on Apple Podcasts"" et al? Thanks",<USER> Hi there! It currently isn't possible to do this. No worries. We'll be sure to pass your feedback onto the right team /DV,@779543 Hi there! It currently isn't possible to do this. No worries. We'll be sure to pass your feedback onto the right team /DV,informational,True,2793335,2793333,Tue Nov 21 19:37:21 +0000 2017,App / Device / Technical
int_000027,conv_1859940_1859938,So <USER> <USER> really hasn't fix this glitch 😒 Fifth Harmony losing Streams D*mmit <URL>,So <USER> <USER> really hasn't fix this glitch 😒 Fifth Harmony losing Streams D*mmit <URL>,"<USER> Hi! To make sure we're on the same page, can you tell us what's happening exactly? Does this happen with any devices you play this on? /CO","@556038 Hi! To make sure we're on the same page, can you tell us what's happening exactly? Does this happen with any devices you play this on? /CO",clarification_request,True,1859940,1859938,Thu Oct 19 16:20:09 +0000 2017,Playback / Audio
int_000028,conv_289998_289997,<USER> I don't even know how to do that in mobile,<USER> I don't even know how to do that in mobile,"<USER> Thanks. Can you let us know your device, operating system, and Spotify version? We'll see what we can suggest /JP","@185080 Thanks. Can you let us know your device, operating system, and Spotify version? We'll see what we can suggest /JP",clarification_request,True,289998,289997,Mon Oct 09 12:59:07 +0000 2017,Feature / Product Question
int_000029,conv_2128517_2128515,"<USER> Yes, does not last longer than 15-20 minutes on most occasions, I’ve tracked it before","<USER> Yes, does not last longer than 15-20 minutes on most occasions, I’ve tracked it before",<USER> Thanks for letting us know. Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /QI,@626610 Thanks for letting us know. Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /QI,troubleshooting,True,2128517,2128515,Wed Nov 08 18:53:57 +0000 2017,Other / Ambiguous
int_000030,conv_1784779_1784781,"<USER> Yep, aware of that. My question was about visibility. Perhaps if you started publishing details labels would be less inclined to remove?","<USER> Yep, aware of that. My question was about visibility. Perhaps if you started publishing details labels would be less inclined to remove?","<USER> We'll pass your feedback on. For now, you can reach out to artists/labels for info on when they plan to add their albums back to Spotify /CB","@536251 We'll pass your feedback on. For now, you can reach out to artists/labels for info on when they plan to add their albums back to Spotify /CB",informational,True,1784779,1784781,Wed Oct 11 13:15:37 +0000 2017,Other / Ambiguous
int_000031,conv_1949202_1949201,love it if someone could share exactly how to merge a personal <USER> account to an artist one?,love it if someone could share exactly how to merge a personal <USER> account to an artist one?,<USER> Hey there! Can you let us know the email addresses of your accounts via DM? We'll see what we can suggest /PL <URL>,@579059 Hey there! Can you let us know the email addresses of your accounts via DM? We'll see what we can suggest /PL https://t.co/ldFdZRiNAt,clarification_request,True,1949202,1949201,Sun Oct 29 08:41:28 +0000 2017,Feature / Product Question
int_000032,conv_173636_173635,"<USER> plus ""+"" on a song doesn't do anything. Where does this save songs? Your UX is confusing, and support is unhelpful/hard to reach.","<USER> plus ""+"" on a song doesn't do anything. Where does this save songs? Your UX is confusing, and support is unhelpful/hard to reach.","<USER> Hey there! Don't worry, help's here. What device, operating system, and Spotify version are you using? We'll see what we can suggest /MT","@156650 Hey there! Don't worry, help's here. What device, operating system, and Spotify version are you using? We'll see what we can suggest /MT",clarification_request,True,173636,173635,Fri Nov 24 22:10:06 +0000 2017,Playback / Audio
int_000033,conv_2666951_2666950,"<USER> after i've undownloded all songs (took all playlists and albums off of offline mode), spotify still takes up a whopping 8GB on my phone? it hasn't changed, even after i deleted over 200 songs worth of data!!! [im using an iPhone 7 running iOS 10.3.2]","<USER> after i've undownloded all songs (took all playlists and albums off of offline mode), spotify still takes up a whopping 8GB on my phone? it hasn't changed, even after i deleted over 200 songs worth of data!!! [im using an iPhone 7 running iOS 10.3.2]","<USER> Hi Erin, help's here. Can you let us know the Spotify version you're running? We'll see what we can suggest /NY","@751327 Hi Erin, help's here. Can you let us know the Spotify version you're running? We'll see what we can suggest /NY",clarification_request,True,2666951,2666950,Sun Nov 19 08:24:40 +0000 2017,Playback / Audio
int_000034,conv_1962711_1962709,Get ur shit together <USER> promising me half an hour of free music and then showing me a commercial 7 minutes later,Get ur shit together <USER> promising me half an hour of free music and then showing me a commercial 7 minutes later,"<USER> Hey, that doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /KB","@581976 Hey, that doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /KB",troubleshooting,True,1962711,1962709,Tue Oct 31 00:41:54 +0000 2017,Playback / Audio
int_000035,conv_1162367_1162366,<USER> WHERE THE FUCK IS TAYLOR SWIFTS ALBUM,<USER> WHERE THE FUCK IS TAYLOR SWIFTS ALBUM,"<USER> Hi! Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: <URL> /GK","@393491 Hi! Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: https://t.co/3h0TnPWP0c /GK",informational,True,1162367,1162366,Fri Nov 10 08:28:44 +0000 2017,Content Availability
int_000036,conv_411611_412017,<USER> Moto E4 Plus Android // Windows 10.,<USER> Moto E4 Plus Android // Windows 10.,<USER> Hey there! Can you let us know how we can help you out? We'll see what we can suggest /MO,@213285 Hey there! Can you let us know how we can help you out? We'll see what we can suggest /MO,clarification_request,True,411611,412017,Tue Oct 10 00:10:26 +0000 2017,App / Device / Technical
int_000037,conv_2321307_2321306,Okay but who was in charge of remastering The Beatles on Spotify bc you can’t even hear vocals on half of the songs <USER>,Okay but who was in charge of remastering The Beatles on Spotify bc you can’t even hear vocals on half of the songs <USER>,"<USER> Hey Kate! We don't have specific info on that. What device, operating system, and Spotify version are you using? We'll check backstage /JE","@672686 Hey Kate! We don't have specific info on that. What device, operating system, and Spotify version are you using? We'll check backstage /JE",clarification_request,True,2321307,2321306,Mon Nov 13 11:21:38 +0000 2017,Billing / Payment
int_000038,conv_1688967_1688965,<USER> it seems that adjusting volume from the lock screen on iOS is not working. Not sure if that is a known bug or not.,<USER> it seems that adjusting volume from the lock screen on iOS is not working. Not sure if that is a known bug or not.,<USER> Hey there! Can you let us know your device and the versions of iOS and Spotify you're running? We'll see what we can suggest /AG,@184259 Hey there! Can you let us know your device and the versions of iOS and Spotify you're running? We'll see what we can suggest /AG,clarification_request,True,1688967,1688965,Mon Nov 06 18:39:06 +0000 2017,App / Device / Technical
int_000039,conv_873981_873979,Spotify needs folders for playlists <USER> dot com make it happen,Spotify needs folders for playlists <USER> dot com make it happen,<USER> Hi Thomas! You can create playlist folder on the desktop app. Just go to File &gt; New Playlist Folder. Hope this helps /GT,@327487 Hi Thomas! You can create playlist folder on the desktop app. Just go to File &gt; New Playlist Folder. Hope this helps /GT,informational,True,873981,873979,Fri Oct 20 17:36:03 +0000 2017,Playback / Audio
int_000040,conv_1705032_1705031,<USER> messaged you😊,<USER> messaged you😊,<USER> Hey! We've just sent you a bit more info over DM. We'll carry on helping out there /TJ,@195064 Hey! We've just sent you a bit more info over DM. We'll carry on helping out there /TJ,clarification_request,True,1705032,1705031,Mon Nov 06 21:44:33 +0000 2017,Other / Ambiguous
int_000041,conv_925119_925120,"<USER> No error message. The shuffle button will highlight green, but doesn’t work and un-highlights when the track is skipped or just changes","<USER> No error message. The shuffle button will highlight green, but doesn’t work and un-highlights when the track is skipped or just changes","<USER> Can you try logging out and back in? If that doesn’t work, try restarting your device. Let us know how you get on /TM","@153486 Can you try logging out and back in? If that doesn’t work, try restarting your device. Let us know how you get on /TM",troubleshooting,True,925119,925120,Mon Oct 16 15:57:11 +0000 2017,Playback / Audio
int_000042,conv_1788392_1788391,Why did <USER> think it was a good idea to play ads simultaneously to the music you're listening on. It's so annoying!?!! <USER>,Why did <USER> think it was a good idea to play ads simultaneously to the music you're listening on. It's so annoying!?!! <USER>,"<USER> Hey, help's here! Can you let us know your device, operating system, and Spotify version? We'll see what we can suggest /MG","@537215 Hey, help's here! Can you let us know your device, operating system, and Spotify version? We'll see what we can suggest /MG",clarification_request,True,1788392,1788391,Sat Oct 28 21:52:54 +0000 2017,Playback / Audio
int_000043,conv_514118_514117,<USER> what do I need to do to get onto the Feminist Friday: Women Producers playlist?!? probably my fav playlist you guys have made!!,<USER> what do I need to do to get onto the Feminist Friday: Women Producers playlist?!? probably my fav playlist you guys have made!!,"<USER> Hey there! Our Curation team are independent so there's no formal submission process. Check out <URL> to help you gain visibility. If you ever need anything else, just shout and we'll come running 🏃 /JX","@238360 Hey there! Our Curation team are independent so there's no formal submission process. Check out https://t.co/Ackn8bZUwo to help you gain visibility. If you ever need anything else, just shout and we'll come running 🏃 /JX",informational,True,514118,514117,Fri Dec 01 22:32:58 +0000 2017,Playback / Audio
int_000044,conv_810928_810927,<USER> why are there different icons for the same actions on mobile vs desktop?,<USER> why are there different icons for the same actions on mobile vs desktop?,<USER> Hey there! Can you let us know which functions are you referring to? We'll check under the hood /JP,@313224 Hey there! Can you let us know which functions are you referring to? We'll check under the hood /JP,clarification_request,True,810928,810927,Thu Oct 12 18:49:01 +0000 2017,App / Device / Technical
int_000045,conv_2289769_2289768,<USER> still waiting for #reputation <USER>. I really want to hear full album!,<USER> still waiting for #reputation <USER>. I really want to hear full album!,"<USER> Hi! Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: <URL> /JL","@665202 Hi! Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: https://t.co/3h0TnPWP0c /JL",informational,True,2289769,2289768,Sun Nov 12 04:58:35 +0000 2017,Content Availability
int_000046,conv_1535900_1535902,"I'm extremely upset about this &amp; will now be returning to Limewire. So great job, <USER>. You turned me from the 'ethical' way after all","I'm extremely upset about this &amp; will now be returning to Limewire. So great job, <USER>. You turned me from the 'ethical' way after all",<USER> 1: Hey! Sorry to hear you feel that way. There's currently a 10k limit in Your Music (Songs + Albums + Artists). More info...,@476231 1: Hey! Sorry to hear you feel that way. There's currently a 10k limit in Your Music (Songs + Albums + Artists). More info...,clarification_request,True,1535900,1535902,Tue Oct 17 01:56:01 +0000 2017,Other / Ambiguous
int_000047,conv_2846_2882298,<USER> Fake u,<USER> Fake u,"<USER> Hey! Can you tell us more about what's happening? If you could fire over your account's email address or username via DM, that'd be great /AY <URL>","@799702 Hey! Can you tell us more about what's happening? If you could fire over your account's email address or username via DM, that'd be great /AY https://t.co/ldFdZRiNAt",clarification_request,True,2846,2882298,Tue Nov 28 07:49:30 +0000 2017,Other / Ambiguous
int_000048,conv_1349643_1349645,"<USER> still no answer, do I have to delay my song ?","<USER> still no answer, do I have to delay my song ?",<USER> Hey! We've just sent you a bit more info over DM. We'll carry on helping out there /SP,@433415 Hey! We've just sent you a bit more info over DM. We'll carry on helping out there /SP,clarification_request,True,1349643,1349645,Fri Oct 27 18:12:53 +0000 2017,Playback / Audio
int_000049,conv_1035175_1035173,<USER> was straight outta khalistan 2 removed from spotify?,<USER> was straight outta khalistan 2 removed from spotify?,<USER> Hey there! Licensing agreements can affect music availability. We have more info here: <URL> /NS,@364866 Hey there! Licensing agreements can affect music availability. We have more info here: https://t.co/VMrgnGpB4G /NS,clarification_request,True,1035175,1035173,Mon Oct 23 05:40:58 +0000 2017,Content Availability
int_000050,conv_2028538_2028537,"You already have this functionality on podcasts. Why not do it for albums, <USER>?! Seriously, not that hard to ad a sort. #UX #Design <URL>","You already have this functionality on podcasts. Why not do it for albums, <USER>?! Seriously, not that hard to ad a sort. #UX #Design <URL>",<USER> Hi there. Thanks for the feedback. We'll be sure to let the right team know. You can also voice out your idea at <URL> /XF,@599882 Hi there. Thanks for the feedback. We'll be sure to let the right team know. You can also voice out your idea at https://t.co/rtDvYZOF32 /XF,informational,True,2028538,2028537,Mon Nov 06 18:48:14 +0000 2017,Content Availability
int_000051,conv_1728110_1728108,<USER> Hey! I'm doing that everytime it gets to crazy. Helps only temporary for a short time :-(,<USER> Hey! I'm doing that everytime it gets to crazy. Helps only temporary for a short time :-(,<USER> That's odd. Can you let us know your iOS and Spotify app versions? We'll see what we can suggest /MU,@522551 That's odd. Can you let us know your iOS and Spotify app versions? We'll see what we can suggest /MU,clarification_request,True,1728110,1728108,Tue Nov 07 10:41:23 +0000 2017,Other / Ambiguous
int_000052,conv_2347848_2347846,<USER> iPhone 7 Plus and it’s the most updated version :),<USER> iPhone 7 Plus and it’s the most updated version :),<USER> Got it! Could you try uninstalling and reinstalling the app? Let us know how it goes /DF,@678755 Got it! Could you try uninstalling and reinstalling the app? Let us know how it goes /DF,troubleshooting,True,2347848,2347846,Mon Nov 13 16:52:17 +0000 2017,App / Device / Technical
int_000053,conv_1879488_1879487,<USER> my playlist is followed by two people I made it private but I still have them as followers. How can I delete them? Thanks,<USER> my playlist is followed by two people I made it private but I still have them as followers. How can I delete them? Thanks,<USER> Hey! We're afraid it's not possible at the moment. We can see how that’d be useful. You can vote for it here: <URL> /BP,@560973 Hey! We're afraid it's not possible at the moment. We can see how that’d be useful. You can vote for it here: https://t.co/Le9jT8ogaK /BP,informational,True,1879488,1879487,Sat Oct 21 10:11:12 +0000 2017,Playback / Audio
int_000054,conv_2746302_2746301,<USER> wyd friend <URL>,<USER> wyd friend <URL>,"<USER> Hey there! There's currently a 3,333 song limit per device, on a maximum of 3 different devices. More info at <URL> /MT","@769056 Hey there! There's currently a 3,333 song limit per device, on a maximum of 3 different devices. More info at https://t.co/WSjJgGAmPy /MT",clarification_request,True,2746302,2746301,Mon Nov 20 22:14:46 +0000 2017,Other / Ambiguous
int_000055,conv_688043_688042,<USER> bakit ganun? Nag avail ako ng spotify for student tapos na charge nako ng 65 pero di parin ako naka premium tapos nag try ulit ako twice akong na charge. <URL>,<USER> bakit ganun? Nag avail ako ng spotify for student tapos na charge nako ng 65 pero di parin ako naka premium tapos nag try ulit ako twice akong na charge. <URL>,"<USER> Hey Nestine! We currently don't have support in Filipino, so we hope you don't mind if we reply in English. Can you tell us more about what's happening? We'll lend a hand /SY","@284347 Hey Nestine! We currently don't have support in Filipino, so we hope you don't mind if we reply in English. Can you tell us more about what's happening? We'll lend a hand /SY",clarification_request,True,688043,688042,Thu Nov 23 10:11:24 +0000 2017,Premium / Subscription
int_000056,conv_409784_409782,<USER> <USER> Yeah the zip on my account is Phoenix so it's definitely strange!,<USER> <USER> Yeah the zip on my account is Phoenix so it's definitely strange!,<USER> Got it. Can you send us a screenshot of what you're seeing? We'll be right here waiting /KL,@209251 Got it. Can you send us a screenshot of what you're seeing? We'll be right here waiting /KL,clarification_request,True,409784,409782,Mon Oct 09 22:46:35 +0000 2017,Account / Login / Security
int_000057,conv_1800061_1800060,"hey <USER>, it's rude to opt me into a bunch of new notifications when i had previously turned off all your notifications.","hey <USER>, it's rude to opt me into a bunch of new notifications when i had previously turned off all your notifications.","<USER> Hey Philip! Don't worry, you can manage your notifications by following the steps here: <URL> Hope it helps /MO","@540839 Hey Philip! Don't worry, you can manage your notifications by following the steps here: https://t.co/KOCCpZkcdF. Hope it helps /MO",informational,True,1800061,1800060,Fri Oct 13 01:34:40 +0000 2017,Ads
int_000058,conv_1514276_1514278,"<USER> Thanks for the reply, But is this saying can't shuffle at all now? lol I'm doing it on my current playlist.","<USER> Thanks for the reply, But is this saying can't shuffle at all now? lol I'm doing it on my current playlist.","<USER> Hmm. Can you let us know what device, operating system, and Spotify version you're using? We'll see what we can suggest /NS","@471351 Hmm. Can you let us know what device, operating system, and Spotify version you're using? We'll see what we can suggest /NS",clarification_request,True,1514276,1514278,Tue Oct 17 00:12:26 +0000 2017,Playback / Audio
int_000059,conv_2028677_2028675,Please explain yourself!! <USER> why is this happening 😢 <URL>,Please explain yourself!! <USER> why is this happening 😢 <URL>,<USER> Hey Melissa! Can you send us the Song Link? Just tap the three dots &gt; Share &gt; Copy Link. What country is your account set to? /LS,@599922 Hey Melissa! Can you send us the Song Link? Just tap the three dots &gt; Share &gt; Copy Link. What country is your account set to? /LS,clarification_request,True,2028677,2028675,Mon Nov 06 19:44:10 +0000 2017,App / Device / Technical
